restaurant_name,food_id,food_name,food_name_cn,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,added_sugars_g,protein_dv,total_carbs_dv,total_fat_dv,saturated_fat_dv,trans_fat_dv,cholesterol_dv,sodium_dv,dietary_fiber_dv,total_sugars_dv,added_sugars_dv,vitamin_d_mcg,vitamin_d_dv,calcium_mg,calcium_dv,iron_mg,iron_dv,potassium_mg,potassium_dv,description,allergens,ingredient_count,ingredients_full,allergens_full,product_url,local_image_path,scraped_date,
Jersey Mike's,17-hot-giant-steak-philly-wheat-sub,#17 - Hot Giant - Steak Philly - Wheat Sub,,1330,92,49,134,4150,22,1,245,9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,17-hot-giant-steak-philly-white-sub,#17 - Hot Giant - Steak Philly - White Sub,,1320,89,49,134,4200,22,1,245,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,26-hot-giant-chicken-bacon-ranch-cheesesteak-rosemary-parmesan,#26 - Hot Giant - Chicken Bacon Ranch Cheesesteak - Rosemary Parmesan,,1740,116,83,135,4840,24,2,295,7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,26-hot-giant-chicken-bacon-ranch-cheesesteak-wheat-sub,#26 - Hot Giant - Chicken Bacon Ranch Cheesesteak - Wheat Sub,,1680,114,79,133,4650,22,2,285,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,26-hot-giant-chicken-bacon-ranch-cheesesteak-white-sub,#26 - Hot Giant - Chicken Bacon Ranch Cheesesteak - White Sub,,1680,111,79,133,4700,22,2,285,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,31-hot-giant-california-chicken-cheesesteak-rosemary-parmesan,#31 - Hot Giant - California Chicken Cheesesteak - Rosemary Parmesan,,1670,107,83,128,4120,22,1,280,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,31-hot-giant-california-chicken-cheesesteak-wheat-sub,#31 - Hot Giant - California Chicken Cheesesteak - Wheat Sub,,1630,105,80,127,3920,20,1,270,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,31-hot-giant-california-chicken-cheesesteak-white-sub,#31 - Hot Giant - California Chicken Cheesesteak - White Sub,,1620,102,79,127,3980,20,1,270,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,42-hot-giant-chipotle-chicken-philly-rosemary-parmesan,#42 - Hot Giant - Chipotle Chicken Philly - Rosemary Parmesan,,1820,106,94,141,4870,24,1,280,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,42-hot-giant-chipotle-chicken-philly-wheat-sub,#42 - Hot Giant - Chipotle Chicken Philly - Wheat Sub,,1780,105,91,140,4670,22,1,270,9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
