restaurant_name,food_name,calories,protein_g,total_fat_g,sodium_mg,total_carbs_g,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,food_id,food_name_cn,description,allergens,local_image_path,scraped_date
McDonald's,Strawberry Triple Thick Shake (32 fl oz cup),1110,25,26,350,194,16,2,100,0,168,953316,,"Strawberry Triple Thick Shake (32 fl oz cup), Desserts/ Shakes",,,2026-02-04
McDonald's,Vanilla Triple Thick Shake (32 fl oz cup),1110,25,26,370,193,16,2,100,0,145,953320,,"Vanilla Triple Thick Shake (32 fl oz cup), Desserts/ Shakes",,,2026-02-04
McDonald's,Chocolate McCafé Shake (22 fl oz cup),880,18,24,370,147,15,1.5,75,1,121,953303,,"Chocolate McCafé Shake (22 fl oz cup), Desserts/ Shakes",,,2026-02-04
McDonald's,Strawberry McCafé Shake (22 fl oz cup),860,18,24,260,144,15,1.5,75,0,124,953312,,"Strawberry McCafé Shake (22 fl oz cup), Desserts/ Shakes",,,2026-02-04
McDonald's,Vanilla McCafé Shake (22 fl oz cup),830,17,24,270,138,14,1.5,75,0,103,953319,,"Vanilla McCafé Shake (22 fl oz cup), Desserts/ Shakes",,,2026-02-04
Taco Bell,Soft Taco Supreme - Chicken,190,13,7,520,18,3.5,0,35,2,2,950233,,"Soft Taco Supreme - Chicken, Tacos",,,2026-02-04
Taco Bell,Chicken Chipotle Melt - Value Menu,190,12,9,530,16,3,0,35,1,,950246,,"Chicken Chipotle Melt - Value Menu, New Cravings Value Menu",,,2026-02-04
Taco Bell,Soft Taco - Chicken,160,12,5,510,16,2.5,0,30,1,1,24350,,"Soft Taco - Chicken, Tacos",,,2026-02-04
Taco Bell,Soft Taco - Beef,180,9,9,500,18,4,0,25,3,1,2741,,"Soft Taco - Beef, Tacos",,,2026-02-04
Taco Bell,Soft Taco - Specialties,180,9,9,500,18,4,0,25,3,1,954732,,Soft Taco - Specialties,,,2026-02-04
Taco Bell,Crunchy Taco Supreme,190,8,11,320,15,4.5,0,25,3,2,2730,,"Crunchy Taco Supreme, Tacos",,,2026-02-04
Taco Bell,Nacho Cheese Doritos Locos Taco Supreme,190,8,11,360,15,4.5,0,25,3,2,64352,,"Nacho Cheese Doritos Locos Taco Supreme, Tacos",,,2026-02-04
Taco Bell,Cheesy Roll Up - Value Menu,180,8,9,430,17,6,0,20,1,1,4447,,"Cheesy Roll Up - Value Menu, New Cravings Value Menu, Specialties, Veggie Cravings",,,2026-02-04
Taco Bell,Burrito Supreme - Steak,380,19,12,1160,50,6,0,30,7,5,2715,,"Burrito Supreme - Steak, Burritos",,,2026-02-04
Taco Bell,Burrito Supreme - Chicken,370,19,11,1150,49,5,0,35,7,4,2714,,"Burrito Supreme - Chicken, Burritos",,,2026-02-04
