name,code,category,url,image_url,image_path,price,serving_size,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,added_sugars_g,protein_g,vegetarian,calories_api
Regular Iced Coffee,1534Main,Breakfast,https://www.tacobell.com/food/drinks/regular-iced-coffee,https://www.tacobell.com/images/1534_iced_regular_coffee_269x269.jpg,images/Regular_Iced_Coffee.jpg,$2.49,,,,,,,,,,,,,False,0
Iced Cinnabon Delights® Coffee,1281Main,Breakfast,https://www.tacobell.com/food/drinks/cinnabon-delights-coffee-iced,https://www.tacobell.com/images/1279_iced_cinnabon_delight_coffee_269x269.jpg,images/Iced_Cinnabon_Delights_Coffee.jpg,$2.79,,160,2.0,1.5,0.0,5,75,34,0,22,22,1,False,0
Breakfast Salsa,2633,Breakfast,https://www.tacobell.com/food/sides/breakfast-salsa,https://www.tacobell.com/images/2633_breakfast_salsa_269x269.jpg,images/Breakfast_Salsa.jpg,$0.00,,0,0.0,0.0,0.0,0,50,<1,0,0,0,0,True,0
Vanilla Cream Soda Freeze,1504Main,Member exclusive,https://www.tacobell.com/food/drinks/vanilla-cream-soda-freeze,https://www.tacobell.com/images/1504_vanilla_cream_soda_freeze_269x269.jpg,images/Vanilla_Cream_Soda_Freeze.jpg,$3.99,,240,1.0,0.5,0.0,<5,90,60,0,58,58,0,False,0
Build Your Own Luxe Cravings Box,23622,Best sellers,https://www.tacobell.com/food/deals-and-combos/build-your-own-luxe-cravings-box-1,https://www.tacobell.com/images/23622_build_your_own_luxe_cravings_box_269x269.jpg,images/Build_Your_Own_Luxe_Cravings_Box.jpg,$6.99,,,,,,,,,,,,,False,690-1940
Large Nacho Fries,28183,Best sellers,https://www.tacobell.com/food/deals-and-combos/large-nacho-fries,https://www.tacobell.com/images/28183_nacho_fries_large_269x269.jpg,images/Large_Nacho_Fries.jpg,$3.69,,500,29.0,2.5,0.0,0,"1,090",52,5,1,0,6,True,470
Nacho Fries,28095,Best sellers,https://www.tacobell.com/food/deals-and-combos/nacho-fries,https://www.tacobell.com/images/28095_nacho_fries_269x269.jpg,images/Nacho_Fries.jpg,$2.89,,350,21.0,2.0,0.0,0,790,36,3,1,0,4,True,330
Soft Taco,22110,Best sellers,https://www.tacobell.com/food/tacos/soft-taco,https://www.tacobell.com/images/22110_soft_taco_269x269.jpg,images/Soft_Taco.jpg,$2.19,,180,8.0,4.0,0.0,25,500,18,3,1,<1,9,False,180
Crunchy Taco,22100,Best sellers,https://www.tacobell.com/food/tacos/crunchy-taco,https://www.tacobell.com/images/22100_crunchy_taco_269x269.jpg,images/Crunchy_Taco.jpg,$2.19,,170,9.0,4.0,0.0,25,310,13,3,0,0,7,False,170
Cheesy Gordita Crunch,22813,Best sellers,https://www.tacobell.com/food/specialties/cheesy-gordita-crunch,https://www.tacobell.com/images/22813_cheesy_gordita_crunch_269x269.jpg,images/Cheesy_Gordita_Crunch.jpg,$5.99,,480,26.0,10.0,0.0,50,830,44,6,4,<1,20,False,490
Chalupa Supreme,22850,Best sellers,https://www.tacobell.com/food/specialties/chalupa-supreme,https://www.tacobell.com/images/22850_chalupa_supreme_269x269.jpg,images/Chalupa_Supreme.jpg,$5.99,,350,20.0,5.0,0.0,25,570,32,4,3,<1,12,False,350
Cheesy Bean and Rice Burrito,22283,Best sellers,https://www.tacobell.com/food/cravings-value-menu/cheesy-bean-and-rice-burrito,https://www.tacobell.com/images/22283_cheesy_bean_and_rice_burrito_269x269.jpg,images/Cheesy_Bean_and_Rice_Burrito.jpg,$1.59,,400,16.0,3.5,0.0,<5,950,56,6,3,2,9,True,420
Chicken Quesadilla,22321,Best sellers,https://www.tacobell.com/food/quesadillas/chicken-quesadilla,https://www.tacobell.com/images/22321_quesadilla_269x269.jpg,images/Chicken_Quesadilla.jpg,$6.89,,550,28.0,14.0,0.0,90,"1,310",46,5,3,1,29,False,510
Spicy Potato Soft Taco,22259,Best sellers,https://www.tacobell.com/food/cravings-value-menu/spicy-potato-soft-taco,https://www.tacobell.com/images/22259_spicy_potato_soft_taco_269x269.jpg,images/Spicy_Potato_Soft_Taco.jpg,$1.39,,240,11.0,3.0,0.0,10,470,28,2,1,<1,5,True,240
Crunchwrap Supreme®,22362,Best sellers,https://www.tacobell.com/food/specialties/crunchwrap-supreme,https://www.tacobell.com/images/22362_crunchwrap_supreme_269x269.jpg,images/Crunchwrap_Supreme.jpg,$6.59,,530,20.0,7.0,0.0,20,"1,210",74,6,6,2,15,False,530
Beefy 5-Layer Burrito,22167,Best sellers,https://www.tacobell.com/food/burritos/beefy-5-layer-burrito,https://www.tacobell.com/images/22167_beefy_5_layer_burrito_269x269.jpg,images/Beefy_5-Layer_Burrito.jpg,$4.99,,490,18.0,8.0,0.0,30,"1,290",65,7,4,2,17,False,490
