name,code,category,url,image_url,image_path,price,serving_size,ingredients,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,added_sugars_g,protein_g,vegetarian
Cinnabon Delights® 12 Pack,30045,Breakfast,https://www.tacobell.com/food/sweets/cinnabon-delights-12-pack,https://www.tacobell.com/images/30045_cinnabon_delights_12_pack_269x269.jpg,images/Cinnabon_Delights_12_Pack.jpg,$7.99,,,1010,68.0,22.0,0.0,40,430,88,5,52,52,11,True
Premium Hot Coffee,1527Main,Breakfast,https://www.tacobell.com/food/drinks/premium-hot-coffee,https://www.tacobell.com/images/1527_premium_hot_coffee_269x269.jpg,images/Premium_Hot_Coffee.jpg,$2.49,,,0,0.0,0.0,0.0,0,5,0,0,0,0,0,False
Hot Cinnabon Delights® Coffee,1280Main,Breakfast,https://www.tacobell.com/food/drinks/cinnabon-delights-coffee-hot,https://www.tacobell.com/images/1280_hot_cinnabon_delight_coffee_269x269.jpg,images/Hot_Cinnabon_Delights_Coffee.jpg,$2.89,,,0,2.0,1.5,0.0,5,75,34,0,22,22,1,False
Regular Iced Coffee,1534Main,Breakfast,https://www.tacobell.com/food/drinks/regular-iced-coffee,https://www.tacobell.com/images/1534_iced_regular_coffee_269x269.jpg,images/Regular_Iced_Coffee.jpg,$2.49,,,0,,,,,,,,,,,False
Iced Cinnabon Delights® Coffee,1281Main,Breakfast,https://www.tacobell.com/food/drinks/cinnabon-delights-coffee-iced,https://www.tacobell.com/images/1279_iced_cinnabon_delight_coffee_269x269.jpg,images/Iced_Cinnabon_Delights_Coffee.jpg,$2.79,,,0,2.0,1.5,0.0,5,75,34,0,22,22,1,False
Breakfast Salsa,2633,Breakfast,https://www.tacobell.com/food/sides/breakfast-salsa,https://www.tacobell.com/images/2633_breakfast_salsa_269x269.jpg,images/Breakfast_Salsa.jpg,$0.00,,"Water, tomato paste, distilled vinegar, jalapeño peppers, food starch-modified, 2% or less of dried onion, salt, onion juice, chili peppers, dried garlic, yeast extract, sodium benzoate and potassium sorbate (P), potassium chloride, spices, lactic acid, soy sauce (water, wheat, soybeans, salt, sodium benzoate [P]), sugar, vinegar solids, natural flavors. Contains Soy, Wheat. [certified vegan]",0,0.0,0.0,0.0,0,50,<1,0,0,0,0,True
Vanilla Cream Soda Freeze,1504Main,Member exclusive,https://www.tacobell.com/food/drinks/vanilla-cream-soda-freeze,https://www.tacobell.com/images/1504_vanilla_cream_soda_freeze_269x269.jpg,images/Vanilla_Cream_Soda_Freeze.jpg,$3.99,,"Carbonated water, high fructose corn syrup, natural and artificial flavor, yucca mohave extract, phosphoric acid, sodium benzoate (PF), sodium citrate, calcium disodium EDTA (PF).",0,1.0,0.5,0.0,<5,70,49,0,47,47,0,False
Build Your Own Luxe Cravings Box,23622,Best sellers,https://www.tacobell.com/food/deals-and-combos/build-your-own-luxe-cravings-box-1,https://www.tacobell.com/images/23622_build_your_own_luxe_cravings_box_269x269.jpg,images/Build_Your_Own_Luxe_Cravings_Box.jpg,$6.99,,,690-1940,,,,,,,,,,,False
Large Nacho Fries,28183,Best sellers,https://www.tacobell.com/food/deals-and-combos/large-nacho-fries,https://www.tacobell.com/images/28183_nacho_fries_large_269x269.jpg,images/Large_Nacho_Fries.jpg,$3.69,,,470,29.0,2.5,0.0,0,"1,090",52,5,1,0,6,True
Nacho Fries,28095,Best sellers,https://www.tacobell.com/food/deals-and-combos/nacho-fries,https://www.tacobell.com/images/28095_nacho_fries_269x269.jpg,images/Nacho_Fries.jpg,$2.89,,,330,21.0,2.0,0.0,0,790,36,3,1,0,4,True
Soft Taco,22110,Best sellers,https://www.tacobell.com/food/tacos/soft-taco,https://www.tacobell.com/images/22110_soft_taco_269x269.jpg,images/Soft_Taco.jpg,$2.19,,,180,8.0,4.0,0.0,25,500,18,3,1,<1,9,False
Crunchy Taco,22100,Best sellers,https://www.tacobell.com/food/tacos/crunchy-taco,https://www.tacobell.com/images/22100_crunchy_taco_269x269.jpg,images/Crunchy_Taco.jpg,$2.19,,,170,9.0,4.0,0.0,25,310,13,3,0,0,7,False
