name,category,url,image_url,image_path,price,calories,calories_kcal,sodium_mg,sugars_g,protein_g,description,price_cal_text
Grilled Cheese Burrito,burritos,https://www.tacobell.com/food/burritos/grilled-cheese-burrito,https://www.tacobell.com/images/22963_beef_grilled_cheese_burrito_269x269.jpg,images/Grilled_Cheese_Burrito.jpg,$0.00,0,True,False,False,False,"Grilled Cheese Burrito Seasoned Beef swapped for Slow-Roasted Chicken, add Onions and Jalapeño Peppers",
Black Bean Grilled Cheese Burrito - Black Beans,burritos,https://www.tacobell.com/food/burritos/black-bean-grilled-cheese-burrito,https://www.tacobell.com/images/23290_black_bean_grilled_cheese_burrito_269x269.jpg,images/Black_Bean_Grilled_Cheese_Burrito_-_Black_Beans.jpg,$0.00,0,True,False,False,False,Grilled Cheese Burrito,
Bean Burrito,burritos,https://www.tacobell.com/food/burritos/bean-burrito,https://www.tacobell.com/images/22200_bean_burrito_269x269.jpg,images/Bean_Burrito.jpg,$0.00,0,True,False,False,False,Cheesy Bean and Rice Burrito,
Beefy 5-Layer Burrito,burritos,https://www.tacobell.com/food/burritos/beefy-5-layer-burrito,https://www.tacobell.com/images/22167_beefy_5_layer_burrito_269x269.jpg,images/Beefy_5-Layer_Burrito.jpg,$0.00,0,True,False,False,False,"Beefy 5-Layer Burrito with Potatoes, Pico De Gallo, Creamy Jalapeño Sauce, no Reduced-Fat Sour Cream and Beans",
Burrito Supreme®,burritos,https://www.tacobell.com/food/burritos/burrito-supreme,https://www.tacobell.com/images/22201_burrito_supreme_269x269.jpg,images/Burrito_Supreme.jpg,$0.00,0,True,False,False,False,Grilled Cheese Burrito,
Cheesy Bean and Rice Burrito,burritos,https://www.tacobell.com/food/cravings-value-menu/cheesy-bean-and-rice-burrito,https://www.tacobell.com/images/22283_cheesy_bean_and_rice_burrito_269x269.jpg,images/Cheesy_Bean_and_Rice_Burrito.jpg,$0.00,0,True,False,False,False,Cheesy Bean And Rice Burrito with Seasoned Beef,
Beefy Potato Loaded Griller,specialties,https://www.tacobell.com/food/specialties/beefy-potato-loaded-griller,https://www.tacobell.com/images/25501_beef_potato_loaded_griller_269x269.jpg,images/Beefy_Potato_Loaded_Griller.jpg,$0.00,0,True,False,False,False,Steak Garlic Nacho Fries,
Mini Taco Salad,specialties,https://www.tacobell.com/food/specialties/mini-taco-salad,https://www.tacobell.com/images/25502_mini_taco_salad_269x269.jpg,images/Mini_Taco_Salad.jpg,$0.00,0,True,False,False,False,Steak Garlic Nacho Fries,
Avocado Ranch Chicken Stacker,specialties,https://www.tacobell.com/food/specialties/avocado-ranch-chicken-stacker,https://www.tacobell.com/images/25500_chipotle_ranch_chicken_stacker_269x269.jpg,images/Avocado_Ranch_Chicken_Stacker.jpg,$0.00,0,True,False,False,False,Steak Garlic Nacho Fries,
10 Piece Crispy Chicken Nuggets,specialties,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29405_10pc_crispy_chicken_nuggets_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets.jpg,$0.00,0,True,False,False,False,10 Piece Crispy Chicken Nuggets Combo,
